angle:136.41   ,   distance:3043
angle:136.69   ,   distance:3034
angle:136.97   ,   distance:3053
angle:137.23   ,   distance:3028
angle:137.52   ,   distance:3049
angle:137.8   ,   distance:3048
angle:138.06   ,   distance:3012
angle:138.34   ,   distance:3016
angle:138.41   ,   distance:0
angle:138.64   ,   distance:2963
angle:138.69   ,   distance:0
angle:138.91   ,   distance:3004
angle:138.97   ,   distance:0
angle:139.17   ,   distance:3028
angle:139.45   ,   distance:3007
angle:139.73   ,   distance:3004
angle:140.02   ,   distance:3007
angle:140.3   ,   distance:3000
angle:140.56   ,   distance:3004
angle:140.84   ,   distance:3009
angle:141.13   ,   distance:3035
angle:141.41   ,   distance:3028
angle:141.67   ,   distance:3038
angle:141.95   ,   distance:3052
angle:142.23   ,   distance:3061
angle:142.52   ,   distance:3058
angle:142.78   ,   distance:3051
angle:143.06   ,   distance:3050
angle:143.34   ,   distance:3059
angle:143.63   ,   distance:3053
angle:143.89   ,   distance:3060
angle:144.17   ,   distance:3063
angle:144.45   ,   distance:3058
angle:144.72   ,   distance:3090
angle:145.02   ,   distance:3079
angle:145.28   ,   distance:3075
angle:145.56   ,   distance:3065
angle:145.84   ,   distance:3080
angle:146.11   ,   distance:3093
angle:146.38   ,   distance:3093
angle:146.66   ,   distance:3093
angle:146.94   ,   distance:3099
angle:147.22   ,   distance:3102
angle:147.5   ,   distance:3079
angle:147.77   ,   distance:3097
angle:148.05   ,   distance:3093
angle:148.33   ,   distance:3097
angle:148.61   ,   distance:3098
angle:148.88   ,   distance:3100
angle:149.16   ,   distance:3105
angle:149.44   ,   distance:3101
angle:149.72   ,   distance:3114
angle:149.98   ,   distance:3112
angle:150.27   ,   distance:3117
angle:150.55   ,   distance:3114
angle:150.83   ,   distance:3123
angle:151.09   ,   distance:3126
angle:151.41   ,   distance:3132
angle:151.67   ,   distance:3136
angle:151.95   ,   distance:3136
angle:152.23   ,   distance:3158
angle:153.67   ,   distance:2814
angle:153.95   ,   distance:2855
angle:154.48   ,   distance:2972
angle:154.75   ,   distance:2983
angle:155.03   ,   distance:2982
angle:155.31   ,   distance:2985
angle:155.48   ,   distance:0
angle:155.58   ,   distance:2986
angle:155.77   ,   distance:0
angle:155.86   ,   distance:2990
angle:156.05   ,   distance:0
angle:156.14   ,   distance:3042
angle:156.33   ,   distance:0
angle:156.98   ,   distance:2869
angle:157.16   ,   distance:0
angle:157.53   ,   distance:3011
angle:157.81   ,   distance:3012
angle:158.09   ,   distance:3015
angle:158.36   ,   distance:3031
angle:158.64   ,   distance:3036
angle:158.92   ,   distance:3034
angle:159.2   ,   distance:3043
angle:159.41   ,   distance:0
angle:159.48   ,   distance:3046
angle:159.69   ,   distance:0
angle:159.75   ,   distance:3052
angle:160.03   ,   distance:3058
angle:160.25   ,   distance:0
angle:160.31   ,   distance:3064
angle:160.59   ,   distance:3068
angle:160.88   ,   distance:3071
angle:161.14   ,   distance:3078
angle:161.42   ,   distance:3084
angle:161.7   ,   distance:3084
angle:161.97   ,   distance:3091
angle:162.25   ,   distance:3097
angle:162.55   ,   distance:3098
angle:162.81   ,   distance:3112
angle:163.09   ,   distance:3124
angle:163.38   ,   distance:3128
angle:163.66   ,   distance:3135
angle:163.92   ,   distance:3142
angle:164.2   ,   distance:3148
angle:164.48   ,   distance:3154
angle:164.77   ,   distance:3156
angle:165.05   ,   distance:3163
angle:165.31   ,   distance:3172
angle:165.59   ,   distance:3175
angle:165.88   ,   distance:3182
angle:166.16   ,   distance:3191
angle:166.44   ,   distance:3205
angle:166.7   ,   distance:3210
angle:166.98   ,   distance:3215
angle:167.25   ,   distance:3228
angle:167.53   ,   distance:3234
angle:167.81   ,   distance:3232
angle:168.08   ,   distance:3248
angle:168.36   ,   distance:3261
angle:168.64   ,   distance:3264
angle:168.92   ,   distance:3270
angle:169.2   ,   distance:3278
angle:169.47   ,   distance:3294
angle:169.75   ,   distance:3296
angle:170.03   ,   distance:3307
angle:170.31   ,   distance:3315
angle:170.59   ,   distance:3332
angle:170.86   ,   distance:3335
angle:171.14   ,   distance:3345
angle:171.41   ,   distance:3354
angle:171.69   ,   distance:3362
angle:171.97   ,   distance:3371
angle:172.23   ,   distance:3381
angle:172.52   ,   distance:3391
angle:172.8   ,   distance:3400
angle:173.08   ,   distance:3408
angle:173.36   ,   distance:3422
angle:173.66   ,   distance:3430
angle:173.92   ,   distance:3451
angle:174.2   ,   distance:3459
angle:174.48   ,   distance:3469
angle:174.77   ,   distance:3482
angle:175.05   ,   distance:3492
angle:175.33   ,   distance:3500
angle:175.59   ,   distance:3507
angle:175.88   ,   distance:3527
angle:176.16   ,   distance:3549
angle:176.98   ,   distance:3744
angle:177.27   ,   distance:3760
angle:177.55   ,   distance:3771
angle:177.83   ,   distance:3790
angle:178.11   ,   distance:3800
angle:178.39   ,   distance:3819
angle:178.67   ,   distance:3835
angle:178.95   ,   distance:3844
angle:179.2   ,   distance:3865
angle:179.48   ,   distance:3874
angle:179.56   ,   distance:0
angle:179.77   ,   distance:3893
angle:179.84   ,   distance:0
angle:180.05   ,   distance:3911
angle:180.33   ,   distance:3918
angle:180.61   ,   distance:3948
angle:180.89   ,   distance:3958
angle:181.17   ,   distance:3989
angle:181.97   ,   distance:4587
angle:182.25   ,   distance:4558
angle:182.53   ,   distance:4530
angle:182.83   ,   distance:4495
angle:183.11   ,   distance:4480
angle:183.39   ,   distance:4447
angle:183.67   ,   distance:4413
angle:183.95   ,   distance:4386
angle:184.23   ,   distance:4368
angle:184.5   ,   distance:4364
angle:184.59   ,   distance:0
angle:184.81   ,   distance:4312
